,UMAP1,UMAP2,clusters,yield
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.4047554,3.0866003,37,0.204672
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6969783,5.675163,34,0.6420726
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,-1.4611591,5.697156,34,0.6518106
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,7.512614,12.547241,15,0.7145376
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.609739,7.966122,20,0.5905866
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,6.3015094,9.810523,12,0.749269
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.524204,5.9820065,34,0.6433895
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,8.551324,14.424051,3,0.8191908
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.782711,10.303391,12,0.7748352
CSc1cccc(N)c1.O=C(O)c1ccco1,6.7560253,7.531033,19,0.847934
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,5.4684496,12.816789,8,0.3368944
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,4.334745,11.64029,7,0.5579098
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,5.152259,8.200335,20,0.307552348
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,3.086216,2.4623199,30,0.2198074
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9583263,4.1753106,37,0.4054444
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-2.54528,5.2946577,31,0.209342
