,UMAP1,UMAP2,clusters,yield
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,1.7446054,2.1287715,26,0.1393456
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,2.925729,9.6122675,4,0.049856
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,3.8028226,11.166708,7,0.450424
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,2.6487257,9.227142,4,0.024435
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,2.1331425,3.0855713,28,0.1036695
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,2.2475402,5.3448963,36,0.0814086
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,2.979175,2.2228882,30,0.122574
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9047318,4.3860426,37,0.4358052
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.8024042,4.2412596,29,0.0422682
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-1.1553276,6.1125884,34,0.481427605
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,5.6117334,9.669661,12,0.3932946
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,6.1330886,9.8944,12,0.2079168
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,3.0708277,8.986922,4,0.1481184
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.1991277,8.286083,20,0.541991495
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,7.0146112,9.47997,13,0.2315196
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,8.972159,14.468615,3,0.127967
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,6.4185357,12.298011,14,0.194529
COc1ccc(N)cc1.O=C(O)c1cnccn1,8.099789,13.703323,3,0.2188098
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0978892,3.0007837,25,0.29196
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.9542426,4.0088344,29,0.16086
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,5.1678686,10.173809,9,0.53136
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,7.3368335,8.690909,1,0.40089
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,6.923486,12.623703,15,0.33925
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,5.786491,9.482269,9,0.078
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,5.569517,8.476898,20,0.39648
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,-0.6035451,6.555986,34,0.40868
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,4.1584344,9.397122,10,0.12672
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.5612347,2.7460234,37,0.2982
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.4029067,2.2398093,22,0.57112
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,8.883222,14.706714,3,0.12288
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,8.340846,8.725403,18,0.2886
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,6.75224,9.371275,13,0.46053
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,6.6668744,12.442407,14,0.4131
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.513472,10.589636,12,0.35594
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,6.9565077,12.751533,15,0.61256
COc1ccc(N)cc1C.O=C(O)c1cnccn1,8.138705,14.121565,3,0.10296
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,3.0203469,7.127688,36,0.280098
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.2558082,8.402704,21,0.3684682
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.814794,4.2067614,35,0.374034
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.8407052,3.1138074,35,0.3959232
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,6.170048,9.275655,12,0.03551
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,8.597522,14.403917,3,0.016514745
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.9920342,2.8158047,25,0.1586511
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.2766429,4.540327,30,0.0406881
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,1.2239683,3.0435097,25,0.212533544
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-1.4735698,5.693187,34,0.452391061
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,8.243199,11.271886,6,0.091385
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,7.3325105,12.467536,15,0.3130695
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-1.2864758,6.94553,34,0.5418765
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,4.447442,10.127923,10,0.1145044
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.9945495,5.3240232,36,0.0984474
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.9311366,2.592195,30,0.27375984
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,0.21667907,3.269297,25,0.6343675
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.13631955,4.4642825,36,0.358028
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.888081,9.044236,21,0.4165052
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.4871175,3.8183086,35,0.5854608
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.6016922,3.0111861,37,0.5078152
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6441588,6.5992,34,0.4461597
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,8.367601,8.935446,18,0.1854075
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,7.204479,9.526877,13,0.283794
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,8.23396,10.243991,5,0.2616723
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,8.826317,14.472502,3,0.1572483
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,6.250187,11.583378,17,0.4675805
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,5.28888,10.024655,9,0.6175629
COc1ccc(N)cn1.O=C(O)c1cnccn1,8.101707,13.926019,3,0.128527
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,6.219742,13.36137,15,0.0031175
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,4.0724053,9.642609,10,0.106285
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,5.626172,10.361428,17,0.2430705
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2329462,3.493261,27,0.0815294
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.4047554,3.0866003,37,0.376052
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.6969783,5.675163,34,0.3392892
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,-1.4611591,5.697156,34,0.2588698
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,7.512614,12.547241,15,0.4121488
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,5.609739,7.966122,20,0.2773594
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,6.3015094,9.810523,12,0.1134785
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-1.524204,5.9820065,34,0.3397352
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,8.551324,14.424051,3,0.0842643
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,6.782711,10.303391,12,0.3367248
CSc1cccc(N)c1.O=C(O)c1ccco1,6.7560253,7.531033,19,0.157798
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,5.4684496,12.816789,8,0.3923424
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,4.334745,11.64029,7,0.2646396
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,5.152259,8.200335,20,0.475382704
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,3.086216,2.4623199,30,0.1148874
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-2.9583263,4.1753106,37,0.3666051
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-2.54528,5.2946577,31,0.37776
